HSC;MPP;B_cell;ILC;DC;Mono_6C_Plus;Mono_6C_Minus;Granulocytes
LTHSC.34..BM;MPP4.135..BM;proB.CLP.BM;NK.27.11b..BM;DC.4..Sp;Mo.6C.II..Bl;Mo.6C.II..Bl.1;GN.BM
LTHSC.34..BM.1;MPP3.48..BM;proB.FrA.BM;NK.27.11b..BM.1;DC.8..Sp;NA;NA;NA
STHSC.150..BM;NA;proB.FrBC.BM;NK.27.11b..BM.2;DC.pDC.Sp;NA;NA;NA
NA;NA;preB.FrD.BM;NA;DC.103.11b..SI;NA;NA;NA
NA;NA;B.FrE.BM;NA;DC.103.11b..SI.1;NA;NA;NA
NA;NA;B.PC.BM;NA;NA;NA;NA;NA
